period,draw_date,bonus_name,num1,num2,num3,num4,num5,num6,num7,num8,num9
100000009,2011-02-01,春節加碼加開獎項,1,19,11,18,33,40,,,
100000009,2011-02-01,春節加碼加開獎項,1,40,6,47,41,35,,,
100000009,2011-02-01,春節加碼加開獎項,1,8,45,40,25,36,,,
100000009,2011-02-01,春節加碼加開獎項,2,8,3,45,27,24,,,
100000009,2011-02-01,春節加碼加開獎項,2,12,37,18,17,7,,,
100000009,2011-02-01,春節加碼加開獎項,3,33,14,46,16,32,,,
100000009,2011-02-01,春節加碼加開獎項,3,14,27,49,2,33,,,
100000009,2011-02-01,春節加碼加開獎項,3,42,41,13,47,40,,,
100000009,2011-02-01,春節加碼加開獎項,4,10,13,26,5,44,,,
100000009,2011-02-01,春節加碼加開獎項,4,11,8,22,38,2,,,
100000009,2011-02-01,春節加碼加開獎項,5,8,27,19,49,40,,,
100000009,2011-02-01,春節加碼加開獎項,5,20,10,26,11,21,,,
100000009,2011-02-01,春節加碼加開獎項,5,8,37,29,43,33,,,
100000009,2011-02-01,春節加碼加開獎項,6,8,22,11,10,35,,,
100000009,2011-02-01,春節加碼加開獎項,6,35,40,20,1,15,,,
100000009,2011-02-01,春節加碼加開獎項,6,10,33,4,19,12,,,
100000009,2011-02-01,春節加碼加開獎項,7,17,1,14,21,27,,,
100000009,2011-02-01,春節加碼加開獎項,7,28,2,37,38,30,,,
100000009,2011-02-01,春節加碼加開獎項,7,15,4,3,33,46,,,
100000009,2011-02-01,春節加碼加開獎項,9,25,45,13,33,4,,,
100000009,2011-02-01,春節加碼加開獎項,10,20,47,17,1,45,,,
100000009,2011-02-01,春節加碼加開獎項,10,28,35,6,11,13,,,
100000009,2011-02-01,春節加碼加開獎項,10,29,17,31,36,2,,,
100000009,2011-02-01,春節加碼加開獎項,11,15,47,27,21,20,,,
100000009,2011-02-01,春節加碼加開獎項,12,36,25,19,49,47,,,
100000009,2011-02-01,春節加碼加開獎項,12,39,42,38,32,5,,,
100000009,2011-02-01,春節加碼加開獎項,12,22,4,11,38,5,,,
100000009,2011-02-01,春節加碼加開獎項,12,43,3,7,8,38,,,
100000009,2011-02-01,春節加碼加開獎項,13,26,8,45,11,20,,,
100000009,2011-02-01,春節加碼加開獎項,13,18,25,46,37,39,,,
100000009,2011-02-01,春節加碼加開獎項,13,39,48,40,43,42,,,
100000009,2011-02-01,春節加碼加開獎項,14,9,5,20,35,15,,,
100000009,2011-02-01,春節加碼加開獎項,14,15,3,19,30,23,,,
100000009,2011-02-01,春節加碼加開獎項,14,30,24,47,9,19,,,
100000009,2011-02-01,春節加碼加開獎項,15,21,34,2,20,28,,,
100000009,2011-02-01,春節加碼加開獎項,15,20,45,1,13,14,,,
100000009,2011-02-01,春節加碼加開獎項,16,5,42,19,44,10,,,
100000009,2011-02-01,春節加碼加開獎項,16,32,28,41,48,33,,,
100000009,2011-02-01,春節加碼加開獎項,17,24,9,30,12,49,,,
100000009,2011-02-01,春節加碼加開獎項,18,25,13,48,42,26,,,
100000009,2011-02-01,春節加碼加開獎項,18,12,40,21,29,42,,,
100000009,2011-02-01,春節加碼加開獎項,18,12,31,40,2,44,,,
100000009,2011-02-01,春節加碼加開獎項,18,2,41,31,25,26,,,
100000009,2011-02-01,春節加碼加開獎項,20,5,44,27,25,48,,,
100000009,2011-02-01,春節加碼加開獎項,20,43,14,16,45,33,,,
100000009,2011-02-01,春節加碼加開獎項,20,32,44,10,24,7,,,
100000009,2011-02-01,春節加碼加開獎項,21,41,4,46,48,25,,,
100000009,2011-02-01,春節加碼加開獎項,21,2,7,28,8,16,,,
100000009,2011-02-01,春節加碼加開獎項,22,34,44,36,38,25,,,
100000009,2011-02-01,春節加碼加開獎項,22,5,29,39,16,13,,,
100000009,2011-02-01,春節加碼加開獎項,22,20,33,47,1,49,,,
100000009,2011-02-01,春節加碼加開獎項,23,44,18,7,39,40,,,
100000009,2011-02-01,春節加碼加開獎項,23,12,2,20,38,4,,,
100000009,2011-02-01,春節加碼加開獎項,23,41,30,6,36,1,,,
100000009,2011-02-01,春節加碼加開獎項,23,38,17,25,37,5,,,
100000009,2011-02-01,春節加碼加開獎項,24,15,49,1,23,10,,,
100000009,2011-02-01,春節加碼加開獎項,25,15,17,5,41,20,,,
100000009,2011-02-01,春節加碼加開獎項,25,46,45,44,10,21,,,
100000009,2011-02-01,春節加碼加開獎項,26,46,34,25,43,7,,,
100000009,2011-02-01,春節加碼加開獎項,27,47,11,34,1,14,,,
100000009,2011-02-01,春節加碼加開獎項,27,9,23,37,38,47,,,
100000009,2011-02-01,春節加碼加開獎項,28,8,6,9,20,26,,,
100000009,2011-02-01,春節加碼加開獎項,28,35,11,29,41,38,,,
100000009,2011-02-01,春節加碼加開獎項,30,6,31,45,13,44,,,
100000009,2011-02-01,春節加碼加開獎項,30,3,8,39,25,12,,,
100000009,2011-02-01,春節加碼加開獎項,30,12,1,10,6,48,,,
100000009,2011-02-01,春節加碼加開獎項,31,8,33,14,23,7,,,
100000009,2011-02-01,春節加碼加開獎項,31,46,3,30,29,39,,,
100000009,2011-02-01,春節加碼加開獎項,32,48,37,19,47,42,,,
100000009,2011-02-01,春節加碼加開獎項,32,41,21,39,36,11,,,
100000009,2011-02-01,春節加碼加開獎項,32,49,33,22,2,26,,,
100000009,2011-02-01,春節加碼加開獎項,34,1,3,22,31,9,,,
100000009,2011-02-01,春節加碼加開獎項,34,7,42,5,44,48,,,
100000009,2011-02-01,春節加碼加開獎項,34,13,16,1,8,17,,,
100000009,2011-02-01,春節加碼加開獎項,34,25,1,41,38,9,,,
100000009,2011-02-01,春節加碼加開獎項,34,44,49,3,36,32,,,
100000009,2011-02-01,春節加碼加開獎項,35,11,25,20,46,33,,,
100000009,2011-02-01,春節加碼加開獎項,35,11,6,18,12,28,,,
100000009,2011-02-01,春節加碼加開獎項,36,49,16,7,15,29,,,
100000009,2011-02-01,春節加碼加開獎項,37,1,13,47,4,17,,,
100000009,2011-02-01,春節加碼加開獎項,37,30,7,10,26,32,,,
100000009,2011-02-01,春節加碼加開獎項,38,5,22,15,26,3,,,
100000009,2011-02-01,春節加碼加開獎項,39,7,42,22,25,35,,,
100000009,2011-02-01,春節加碼加開獎項,39,29,22,5,34,44,,,
100000009,2011-02-01,春節加碼加開獎項,39,1,26,18,22,28,,,
100000009,2011-02-01,春節加碼加開獎項,39,19,11,30,34,49,,,
100000009,2011-02-01,春節加碼加開獎項,40,6,18,44,33,23,,,
100000009,2011-02-01,春節加碼加開獎項,40,7,3,47,42,41,,,
100000009,2011-02-01,春節加碼加開獎項,41,29,31,27,6,48,,,
100000009,2011-02-01,春節加碼加開獎項,42,20,6,8,48,38,,,
100000009,2011-02-01,春節加碼加開獎項,44,35,46,4,14,47,,,
